Circuit Number,0,1
1,65,8127
2,131,8061
3,391,7801
4,751,7441
5,1236,6956
6,1882,6310
7,2472,5720
8,3278,4914
9,4097,4095
10,4889,3303
11,5666,2526
12,6366,1826
13,6904,1288
14,7492,700
15,7810,382
16,8076,116
17,8175,17
18,8111,81
19,7874,318
20,7502,690
21,6990,1202
22,6352,1840
23,5740,2452
24,4968,3224
25,4119,4073
26,3327,4865
27,2611,5581
28,1936,6256
29,1297,6895
30,787,7405
31,405,7787
32,152,8040
33,50,8142
