Circuit Number,0 0 0,0 0 1,0 1 0,0 1 1,1 0 0,1 0 1,1 1 0,1 1 1
1,1039,1135,872,1049,1138,1214,805,940
2,1025,1176,1012,1012,1076,1231,810,850
3,922,1215,984,988,1050,1335,838,860
4,1072,1171,959,994,1114,1230,788,864
