Circuit Number,0 0 0,0 0 1,0 1 0,0 1 1,1 0 0,1 0 1,1 1 0,1 1 1
1,1077,897,907,1221,946,859,1217,1068
2,1028,924,921,1123,843,941,1331,1081
3,920,1015,1177,975,861,916,1063,1265
4,924,1002,1087,952,993,850,1105,1279
