Circuit Number,0 0,0 1,1 0,1 1
1,8005,55,104,28
2,7906,50,222,14
3,7670,28,474,20
4,7265,38,868,21
5,6812,31,1331,18
6,6109,40,2022,21
7,5495,26,2641,30
8,4716,27,3424,25
9,3954,30,4177,31
10,3177,27,4950,38
11,2463,26,5670,33
12,1743,26,6369,54
13,1176,25,6948,43
14,673,18,7465,36
15,387,14,7728,63
16,177,16,7946,53
17,174,11,7958,49
18,249,14,7875,54
19,516,19,7612,45
20,875,18,7259,40
21,1506,15,6632,39
22,2106,17,6027,42
23,2716,18,5413,45
24,3503,34,4613,42
25,4258,28,3877,29
26,5028,33,3107,24
27,5748,22,2394,28
28,6460,29,1682,21
29,7062,36,1070,24
30,7481,32,657,22
31,7813,40,316,23
32,8018,35,120,19
33,8053,34,96,9
