Circuit Number,000,001,010,011,100,101,110,111
1,8114.0,31.0,28.0,,18.0,1.0,,
2,51.0,8099.0,,17.0,,24.0,,1.0
3,68.0,1.0,8076.0,29.0,1.0,,17.0,
4,,66.0,60.0,8043.0,,,1.0,22.0
5,56.0,,,,8073.0,37.0,26.0,
6,1.0,69.0,,,78.0,8017.0,,27.0
7,,,74.0,,62.0,,8023.0,33.0
8,,2.0,1.0,65.0,,63.0,52.0,8009.0
