Circuit Number,000,001,010,011,100,101,110,111
1,7854.0,72.0,245.0,1.0,20.0,,,
2,79.0,7979.0,2.0,111.0,,21.0,,
3,146.0,3.0,7949.0,71.0,2.0,,21.0,
4,2.0,242.0,71.0,7857.0,,2.0,,18.0
5,52.0,1.0,5.0,,7762.0,73.0,296.0,3.0
6,1.0,58.0,,,59.0,7969.0,1.0,104.0
7,1.0,,58.0,,178.0,3.0,7903.0,49.0
8,,4.0,,66.0,4.0,277.0,60.0,7781.0
